PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
DEUTNP,1,2000,8,f,90,5,1399,O,O
DEUTNP,1,2000,8,f,95,+,469,O,O
DEUTNP,1,2000,8,f,TOT,.,9414,O,O
DEUTNP,1,2000,8,b,0,30,252,O,O
DEUTNP,1,2000,8,b,30,5,93,O,O
DEUTNP,1,2000,8,b,35,5,160,O,O
DEUTNP,1,2000,8,b,40,5,204,O,O
DEUTNP,1,2000,8,b,45,5,352,O,O
DEUTNP,1,2000,8,b,50,5,423,O,O
DEUTNP,1,2000,8,b,55,5,712,O,O
DEUTNP,1,2000,8,b,60,5,1187,O,O
DEUTNP,1,2000,8,b,65,5,1441,O,O
DEUTNP,1,2000,8,b,70,5,1976,O,O
DEUTNP,1,2000,8,b,75,5,2668,O,O
DEUTNP,1,2000,8,b,80,5,2165,O,O
DEUTNP,1,2000,8,b,85,5,3340,O,O
DEUTNP,1,2000,8,b,90,5,1878,O,O
DEUTNP,1,2000,8,b,95,+,581,O,O
DEUTNP,1,2000,8,b,TOT,.,17432,O,O
DEUTNP,1,2000,9,m,0,30,155,O,O
DEUTNP,1,2000,9,m,30,5,56,O,O
DEUTNP,1,2000,9,m,35,5,98,O,O
DEUTNP,1,2000,9,m,40,5,139,O,O
DEUTNP,1,2000,9,m,45,5,206,O,O
DEUTNP,1,2000,9,m,50,5,317,O,O
DEUTNP,1,2000,9,m,55,5,505,O,O
DEUTNP,1,2000,9,m,60,5,823,O,O
DEUTNP,1,2000,9,m,65,5,949,O,O
DEUTNP,1,2000,9,m,70,5,1220,O,O
DEUTNP,1,2000,9,m,75,5,1118,O,O
DEUTNP,1,2000,9,m,80,5,808,O,O
DEUTNP,1,2000,9,m,85,5,927,O,O
DEUTNP,1,2000,9,m,90,5,444,O,O
DEUTNP,1,2000,9,m,95,+,87,O,O
DEUTNP,1,2000,9,m,TOT,.,7852,O,O
DEUTNP,1,2000,9,f,0,30,86,O,O
DEUTNP,1,2000,9,f,30,5,32,O,O
DEUTNP,1,2000,9,f,35,5,50,O,O
DEUTNP,1,2000,9,f,40,5,86,O,O
DEUTNP,1,2000,9,f,45,5,133,O,O
DEUTNP,1,2000,9,f,50,5,132,O,O
DEUTNP,1,2000,9,f,55,5,250,O,O
DEUTNP,1,2000,9,f,60,5,371,O,O
DEUTNP,1,2000,9,f,65,5,502,O,O
DEUTNP,1,2000,9,f,70,5,856,O,O
DEUTNP,1,2000,9,f,75,5,1447,O,O
DEUTNP,1,2000,9,f,80,5,1282,O,O
DEUTNP,1,2000,9,f,85,5,2286,O,O
DEUTNP,1,2000,9,f,90,5,1395,O,O
DEUTNP,1,2000,9,f,95,+,461,O,O
DEUTNP,1,2000,9,f,TOT,.,9369,O,O
DEUTNP,1,2000,9,b,0,30,241,O,O
DEUTNP,1,2000,9,b,30,5,88,O,O
DEUTNP,1,2000,9,b,35,5,148,O,O
DEUTNP,1,2000,9,b,40,5,225,O,O
DEUTNP,1,2000,9,b,45,5,339,O,O
DEUTNP,1,2000,9,b,50,5,449,O,O
DEUTNP,1,2000,9,b,55,5,755,O,O
DEUTNP,1,2000,9,b,60,5,1194,O,O
DEUTNP,1,2000,9,b,65,5,1451,O,O
DEUTNP,1,2000,9,b,70,5,2076,O,O
DEUTNP,1,2000,9,b,75,5,2565,O,O
DEUTNP,1,2000,9,b,80,5,2090,O,O
DEUTNP,1,2000,9,b,85,5,3213,O,O
DEUTNP,1,2000,9,b,90,5,1839,O,O
DEUTNP,1,2000,9,b,95,+,548,O,O
DEUTNP,1,2000,9,b,TOT,.,17221,O,O
DEUTNP,1,2000,10,m,0,30,171,O,O
DEUTNP,1,2000,10,m,30,5,59,O,O
DEUTNP,1,2000,10,m,35,5,112,O,O
DEUTNP,1,2000,10,m,40,5,153,O,O
DEUTNP,1,2000,10,m,45,5,223,O,O
DEUTNP,1,2000,10,m,50,5,314,O,O
DEUTNP,1,2000,10,m,55,5,478,O,O
DEUTNP,1,2000,10,m,60,5,800,O,O
DEUTNP,1,2000,10,m,65,5,903,O,O
DEUTNP,1,2000,10,m,70,5,1139,O,O
DEUTNP,1,2000,10,m,75,5,1205,O,O
DEUTNP,1,2000,10,m,80,5,758,O,O
DEUTNP,1,2000,10,m,85,5,1005,O,O
DEUTNP,1,2000,10,m,90,5,421,O,O
DEUTNP,1,2000,10,m,95,+,94,O,O
DEUTNP,1,2000,10,m,TOT,.,7835,O,O
DEUTNP,1,2000,10,f,0,30,93,O,O
DEUTNP,1,2000,10,f,30,5,24,O,O
DEUTNP,1,2000,10,f,35,5,55,O,O
DEUTNP,1,2000,10,f,40,5,59,O,O
DEUTNP,1,2000,10,f,45,5,111,O,O
DEUTNP,1,2000,10,f,50,5,151,O,O
DEUTNP,1,2000,10,f,55,5,243,O,O
DEUTNP,1,2000,10,f,60,5,418,O,O
DEUTNP,1,2000,10,f,65,5,515,O,O
DEUTNP,1,2000,10,f,70,5,819,O,O
DEUTNP,1,2000,10,f,75,5,1378,O,O
DEUTNP,1,2000,10,f,80,5,1265,O,O
DEUTNP,1,2000,10,f,85,5,2206,O,O
DEUTNP,1,2000,10,f,90,5,1302,O,O
DEUTNP,1,2000,10,f,95,+,434,O,O
DEUTNP,1,2000,10,f,TOT,.,9073,O,O
DEUTNP,1,2000,10,b,0,30,264,O,O
